dish_id,total_calories,total_mass_g,total_fat_g,total_carb_g,total_protein_g,ingredients
dish_1550861124,237.369995,336.0,0.945,60.200001,2.877,"[{""name"": ""berries"", ""grams"": 161.0}, {""name"": ""pineapple"", ""grams"": 42.0}, {""name"": ""banana"", ""grams"": 140.0}]"
dish_1563378406,556.263916,189.0,26.568378,66.95768,12.408113,"[{""name"": ""olive oil"", ""grams"": 3.45283}, {""name"": ""biscuits"", ""grams"": 119.0}, {""name"": ""yam"", ""grams"": 28.773584}, {""name"": ""bacon"", ""grams"": 9.0}, {""name"": ""sweet potato"", ""grams"": 28.773584}]"
dish_1562873495,140.106995,152.0,5.601,16.172001,7.504,"[{""name"": ""caesar salad"", ""grams"": 119.0}, {""name"": ""cheese pizza"", ""grams"": 33.0}]"
dish_1565021054,263.749023,144.0,13.847,25.220001,11.447001,"[{""name"": ""tofu"", ""grams"": 71.0}, {""name"": ""waffles"", ""grams"": 73.0}]"
dish_1551567230,244.298019,108.0,20.165001,13.473,8.389999,"[{""name"": ""lemon"", ""grams"": 56.0}, {""name"": ""nuts"", ""grams"": 37.0}, {""name"": ""asparagus"", ""grams"": 17.0}]"
dish_1565974409,688.649963,228.0,50.0,5.48,51.470001,"[{""name"": ""chicken apple sausage"", ""grams"": 143.0}, {""name"": ""bacon"", ""grams"": 85.0}]"
dish_1550874756,85.919998,120.0,5.656,10.540001,8.744,"[{""name"": ""fish"", ""grams"": 41.0}, {""name"": ""tomatoes"", ""grams"": 40.0}, {""name"": ""potatoes"", ""grams"": 46.0}]"
dish_1563822663,303.099365,317.0,13.86415,24.232965,22.034336,"[{""name"": ""couscous"", ""grams"": 59.0}, {""name"": ""cauliflower"", ""grams"": 7.990256}, {""name"": ""wheat berry"", ""grams"": 11.985383}, {""name"": ""steak"", ""grams"": 59.926918}, {""name"": ""squash"", ""grams"": 29.333334}, {""name"": ""zucchini"", ""grams"": 29.333334}, {""name"": ""olive oil"", ""grams"": 0.099878}, {""name"": ""lime"", ""grams"": 0.799026}, {""name"": ""caesar salad"", ""grams"": 88.0}, {""name"": ""garlic"", ""grams"": 0.799026}, {""name"": ""broccoli"", ""grams"": 29.333334}, {""name"": ""salt"", ""grams"": 0.399513}]"
dish_1566590536,25.070757,51.0,0.60339,5.030649,0.453124,"[{""name"": ""carrot"", ""grams"": 50.277264}, {""name"": ""salt"", ""grams"": 0.18854}, {""name"": ""pepper"", ""grams"": 0.031423}, {""name"": ""olive oil"", ""grams"": 0.502773}]"
dish_1566850099,113.057968,112.0,10.687347,4.140735,1.525551,"[{""name"": ""onions"", ""grams"": 5.22449}, {""name"": ""cucumbers"", ""grams"": 13.061224}, {""name"": ""olive oil"", ""grams"": 10.44898}, {""name"": ""salt"", ""grams"": 0.653061}, {""name"": ""mixed greens"", ""grams"": 39.183674}, {""name"": ""lettuce"", ""grams"": 26.122448}, {""name"": ""lime"", ""grams"": 1.306123}, {""name"": ""cherry tomatoes"", ""grams"": 10.44898}, {""name"": ""pepper"", ""grams"": 0.326531}, {""name"": ""vinegar"", ""grams"": 5.22449}]"
dish_1565726848,102.105309,121.0,8.046616,6.780674,2.597133,"[{""name"": ""celery root"", ""grams"": 0.462046}, {""name"": ""salt"", ""grams"": 0.092409}, {""name"": ""broccoli"", ""grams"": 63.414635}, {""name"": ""mustard"", ""grams"": 0.739274}, {""name"": ""onions"", ""grams"": 5.914192}, {""name"": ""olive oil"", ""grams"": 7.499557}, {""name"": ""cranberries"", ""grams"": 2.957096}, {""name"": ""vinegar"", ""grams"": 2.957096}, {""name"": ""arugula"", ""grams"": 36.963696}]"
dish_1563984729,495.720032,321.0,33.59,7.544,38.98,"[{""name"": ""scrambled eggs"", ""grams"": 149.0}, {""name"": ""chicken apple sausage"", ""grams"": 172.0}]"
dish_1561665706,386.348969,228.0,8.67,61.510002,18.429001,"[{""name"": ""chickpeas"", ""grams"": 139.0}, {""name"": ""corn on the cob"", ""grams"": 49.0}, {""name"": ""pizza"", ""grams"": 40.0}]"
dish_1562010369,141.166443,69.0,8.450825,1.970436,13.519394,"[{""name"": ""carrot"", ""grams"": 1.674757}, {""name"": ""pepper"", ""grams"": 0.167476}, {""name"": ""olive oil"", ""grams"": 0.334951}, {""name"": ""wheat berry"", ""grams"": 6.699029}, {""name"": ""pork"", ""grams"": 50.242718}, {""name"": ""jalapenos"", ""grams"": 0.083738}, {""name"": ""mayonnaise"", ""grams"": 1.339806}, {""name"": ""lemon juice"", ""grams"": 0.669903}, {""name"": ""cabbage"", ""grams"": 6.699029}, {""name"": ""parsley"", ""grams"": 0.334951}, {""name"": ""salt"", ""grams"": 0.083738}, {""name"": ""garlic"", ""grams"": 0.669903}]"
dish_1561049373,290.75,146.0,21.950001,2.298,19.73,"[{""name"": ""scrambled eggs"", ""grams"": 127.0}, {""name"": ""bacon"", ""grams"": 19.0}]"
dish_1551378151,326.838013,136.0,27.217001,17.208,11.199,"[{""name"": ""nuts"", ""grams"": 50.0}, {""name"": ""asparagus"", ""grams"": 22.0}, {""name"": ""lemon"", ""grams"": 65.0}]"
dish_1566419546,306.436981,177.0,11.235999,37.687,13.904,"[{""name"": ""caesar salad"", ""grams"": 74.0}, {""name"": ""cheese pizza"", ""grams"": 103.0}]"
dish_1559843690,61.740002,134.0,0.342,14.05,1.751,"[{""name"": ""strawberries"", ""grams"": 77.0}, {""name"": ""potatoes"", ""grams"": 39.0}, {""name"": ""broccoli"", ""grams"": 18.0}]"
dish_1551134824,119.019997,150.0,1.113,23.689999,5.065,"[{""name"": ""potatoes"", ""grams"": 42.0}, {""name"": ""noodles"", ""grams"": 41.0}, {""name"": ""brussels sprouts"", ""grams"": 70.0}]"
dish_1551237558,226.869995,168.0,2.99,44.529999,6.951,"[{""name"": ""noodles"", ""grams"": 128.0}, {""name"": ""apple"", ""grams"": 69.0}, {""name"": ""broccoli"", ""grams"": 41.0}]"
dish_1551381321,108.100006,173.0,1.354,24.34,3.979,"[{""name"": ""tortilla"", ""grams"": 32.0}, {""name"": ""lemon"", ""grams"": 71.0}, {""name"": ""cauliflower"", ""grams"": 71.0}]"
dish_1560443537,237.639999,411.0,0.913,60.169998,2.651,"[{""name"": ""berries"", ""grams"": 204.0}, {""name"": ""pineapple"", ""grams"": 113.0}, {""name"": ""grapes"", ""grams"": 94.0}]"
dish_1567537422,109.319298,203.0,6.288338,12.18853,3.267302,"[{""name"": ""lettuce"", ""grams"": 31.063831}, {""name"": ""bell peppers"", ""grams"": 3.106383}, {""name"": ""broccoli"", ""grams"": 64.390244}, {""name"": ""olive oil"", ""grams"": 1.609756}, {""name"": ""cucumbers"", ""grams"": 15.531916}, {""name"": ""onions"", ""grams"": 3.106383}, {""name"": ""feta cheese"", ""grams"": 3.106383}, {""name"": ""cantaloupe"", ""grams"": 64.0}, {""name"": ""vinaigrette"", ""grams"": 6.212766}, {""name"": ""olives"", ""grams"": 3.106383}, {""name"": ""cherry tomatoes"", ""grams"": 7.765958}]"
dish_1562946106,578.963989,359.0,41.862,16.796,33.006001,"[{""name"": ""cantaloupe"", ""grams"": 62.0}, {""name"": ""watermelon"", ""grams"": 73.0}, {""name"": ""sausage"", ""grams"": 104.0}, {""name"": ""scrambled eggs"", ""grams"": 120.0}]"
dish_1563216659,190.057999,173.0,5.090516,4.554782,29.822712,"[{""name"": ""garlic"", ""grams"": 0.895277}, {""name"": ""cherry tomatoes"", ""grams"": 4.476386}, {""name"": ""chicken breast"", ""grams"": 89.527718}, {""name"": ""spinach (raw)"", ""grams"": 2.238193}, {""name"": ""parmesan cheese"", ""grams"": 2.238193}, {""name"": ""wheat berry"", ""grams"": 8.952772}, {""name"": ""squash"", ""grams"": 63.131935}, {""name"": ""olive oil"", ""grams"": 0.967048}, {""name"": ""thyme"", ""grams"": 0.223819}, {""name"": ""salt"", ""grams"": 0.348654}]"
dish_1565203094,898.019653,485.0,27.678381,37.98381,116.735558,"[{""name"": ""rosemary"", ""grams"": 0.42679}, {""name"": ""parsley"", ""grams"": 0.42679}, {""name"": ""garlic"", ""grams"": 1.70716}, {""name"": ""chicken"", ""grams"": 341.431946}, {""name"": ""pizza"", ""grams"": 88.0}, {""name"": ""salt"", ""grams"": 1.70716}, {""name"": ""chive"", ""grams"": 0.42679}, {""name"": ""lemon juice"", ""grams"": 1.28037}, {""name"": ""chard"", ""grams"": 8.535799}, {""name"": ""basil"", ""grams"": 0.42679}, {""name"": ""olive oil"", ""grams"": 6.487207}, {""name"": ""brown rice"", ""grams"": 34.143196}]"
dish_1560368162,41.639214,178.0,0.927059,7.774373,2.394216,"[{""name"": ""olive oil"", ""grams"": 0.539216}, {""name"": ""cherry tomatoes"", ""grams"": 89.0}, {""name"": ""mushroom"", ""grams"": 34.0}, {""name"": ""salt"", ""grams"": 0.539216}, {""name"": ""eggplant"", ""grams"": 53.92157}]"
dish_1562687554,409.334595,281.0,23.747805,42.104256,9.005127,"[{""name"": ""berries"", ""grams"": 80.0}, {""name"": ""salt"", ""grams"": 0.369697}, {""name"": ""mustard"", ""grams"": 0.739394}, {""name"": ""cucumbers"", ""grams"": 14.787879}, {""name"": ""olive oil"", ""grams"": 11.830302}, {""name"": ""waffles"", ""grams"": 71.0}, {""name"": ""chicken apple sausage"", ""grams"": 14.0}, {""name"": ""vinegar"", ""grams"": 5.915151}, {""name"": ""honeydew melons"", ""grams"": 55.0}, {""name"": ""radishes"", ""grams"": 11.830302}, {""name"": ""garlic"", ""grams"": 0.739394}, {""name"": ""bell peppers"", ""grams"": 14.787879}]"
dish_1550792365,74.440002,175.0,0.362,18.219999,1.855,"[{""name"": ""bell peppers"", ""grams"": 56.0}, {""name"": ""apple"", ""grams"": 53.0}, {""name"": ""cantaloupe"", ""grams"": 72.0}]"
dish_1567022251,111.910004,254.0,4.126,18.481001,2.959,"[{""name"": ""onions"", ""grams"": 57.0}, {""name"": ""cherry tomatoes"", ""grams"": 74.0}, {""name"": ""olives"", ""grams"": 35.0}, {""name"": ""carrot"", ""grams"": 34.0}, {""name"": ""bell peppers"", ""grams"": 54.0}]"
dish_1551564456,102.800003,140.0,6.094,13.247999,1.204,"[{""name"": ""carrot"", ""grams"": 18.0}, {""name"": ""orange"", ""grams"": 66.0}, {""name"": ""olives"", ""grams"": 56.0}]"
dish_1563302345,265.855438,215.0,7.567317,5.092874,43.001171,"[{""name"": ""wheat berry"", ""grams"": 13.001871}, {""name"": ""parsley"", ""grams"": 1.300187}, {""name"": ""spinach (raw)"", ""grams"": 3.250468}, {""name"": ""mushroom"", ""grams"": 63.0}, {""name"": ""chicken"", ""grams"": 130.018707}, {""name"": ""shallots"", ""grams"": 0.040631}, {""name"": ""garlic"", ""grams"": 0.650094}, {""name"": ""salt"", ""grams"": 0.162523}, {""name"": ""olive oil"", ""grams"": 2.600374}, {""name"": ""thyme"", ""grams"": 0.325047}, {""name"": ""lemon juice"", ""grams"": 0.650094}]"
dish_1551395766,90.68,118.0,0.212,20.57,1.964,"[{""name"": ""asparagus"", ""grams"": 20.0}, {""name"": ""pineapple"", ""grams"": 51.0}, {""name"": ""white rice"", ""grams"": 47.0}]"
dish_1551389218,135.804001,108.0,10.511,3.913,7.322,"[{""name"": ""avocado"", ""grams"": 23.0}, {""name"": ""asparagus"", ""grams"": 21.0}, {""name"": ""scrambled eggs"", ""grams"": 64.0}]"
dish_1558458584,351.181,142.0,25.455,25.941,12.369,"[{""name"": ""spinach (raw)"", ""grams"": 14.0}, {""name"": ""grapes"", ""grams"": 77.0}, {""name"": ""almonds"", ""grams"": 51.0}]"
dish_1558639012,257.436005,490.0,2.237,63.264,4.685,"[{""name"": ""cherry tomatoes"", ""grams"": 126.0}, {""name"": ""corn on the cob"", ""grams"": 56.0}, {""name"": ""cauliflower"", ""grams"": 25.0}, {""name"": ""apple"", ""grams"": 154.0}, {""name"": ""grapes"", ""grams"": 129.0}]"
dish_1551375443,99.169998,177.0,0.451,14.42,10.649,"[{""name"": ""cantaloupe"", ""grams"": 83.0}, {""name"": ""shrimp"", ""grams"": 40.0}, {""name"": ""berries"", ""grams"": 55.0}]"
dish_1561492519,271.320007,206.0,2.954,52.377998,11.528,"[{""name"": ""banana with peel"", ""grams"": 124.0}, {""name"": ""wheat bread"", ""grams"": 82.0}]"
dish_1560368019,436.965942,301.0,21.659855,49.96254,26.125687,"[{""name"": ""pizza"", ""grams"": 125.0}, {""name"": ""salt"", ""grams"": 0.595814}, {""name"": ""green onions"", ""grams"": 0.540117}, {""name"": ""onions"", ""grams"": 2.16047}, {""name"": ""olive oil"", ""grams"": 1.541019}, {""name"": ""country rice"", ""grams"": 10.802348}, {""name"": ""eggplant"", ""grams"": 46.07843}, {""name"": ""spinach (raw)"", ""grams"": 27.0}, {""name"": ""fish"", ""grams"": 54.011742}, {""name"": ""asparagus"", ""grams"": 33.0}, {""name"": ""garlic"", ""grams"": 0.270059}]"
dish_1551228438,90.619995,153.0,0.776,20.779999,1.852,"[{""name"": ""noodles"", ""grams"": 28.0}, {""name"": ""cucumbers"", ""grams"": 31.0}, {""name"": ""apple"", ""grams"": 94.0}]"
dish_1566923004,158.820007,153.0,9.309,10.313999,8.745001,"[{""name"": ""scrambled eggs"", ""grams"": 84.0}, {""name"": ""pineapple"", ""grams"": 69.0}]"
dish_1562169762,262.330139,210.0,18.239729,6.993764,17.674047,"[{""name"": ""scrambled eggs"", ""grams"": 160.0}, {""name"": ""salt"", ""grams"": 0.246002}, {""name"": ""brussels sprouts"", ""grams"": 49.200493}, {""name"": ""olive oil"", ""grams"": 0.492005}, {""name"": ""pepper"", ""grams"": 0.061501}]"
dish_1562168696,95.114838,141.0,2.474677,18.134903,1.705,"[{""name"": ""raspberries"", ""grams"": 2.064516}, {""name"": ""vinaigrette"", ""grams"": 2.064516}, {""name"": ""berries"", ""grams"": 68.0}, {""name"": ""granola"", ""grams"": 5.16129}, {""name"": ""blackberries"", ""grams"": 2.064516}, {""name"": ""mixed greens"", ""grams"": 20.645161}, {""name"": ""honeydew melons"", ""grams"": 41.0}]"
